all_comments_id,comment
1,This is actually the ninth test petition. But I'm happy I (Afnan) messed up by not changing the post details. I'm gonna test the comments saving and retrieval function
2,"Also, I just realised I need to change these frames to scrollable frames for each frame, so the test is readable."
3,"Also, need to update the ""Petition"" button so that it clears the input area, making it easier for end user"
4,very interesting!
5,nice truck!
6,This is a comment
7,this is a comment
8,sad comment
9,seoncd
10,thid
11,new!!
12,post a comment
